127.0.0.1 - - [01/May/2024:17:10:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/May/2024:17:15:28 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [01/May/2024:17:15:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/May/2024:17:18:58 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [01/May/2024:17:20:57 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [01/May/2024:17:21:28 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [01/May/2024:17:24:04 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [01/May/2024:17:25:01 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [01/May/2024:17:25:44 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [01/May/2024:19:14:59 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [01/May/2024:19:15:20 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [01/May/2024:19:16:51 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [01/May/2024:19:17:58 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [01/May/2024:19:38:10 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [01/May/2024:19:42:09 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [01/May/2024:19:44:44 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [01/May/2024:19:44:45 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [01/May/2024:19:44:47 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [01/May/2024:19:44:54 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [01/May/2024:19:45:35 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [01/May/2024:19:45:37 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [01/May/2024:19:45:39 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [01/May/2024:19:52:09 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [01/May/2024:19:59:01 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [01/May/2024:19:59:25 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [01/May/2024:20:04:11 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [01/May/2024:20:04:17 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [01/May/2024:20:04:49 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [01/May/2024:20:04:58 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [01/May/2024:20:05:25 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [01/May/2024:20:05:36 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [01/May/2024:20:07:26 +0530] "GET /expense_tracker/register.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [01/May/2024:20:10:04 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [01/May/2024:20:12:17 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 2920
